Ticker,Name,Sector,Country
ADRT,Ault Disruptive Technologies Corporation,Financial Services,United States
ADSE,ADS-TEC Energy PLC,Industrials,Ireland
ADSK,"Autodesk, Inc.",Technology,United States
ADT,ADT Inc.,Industrials,United States
ADTH,"AdTheorent Holding Company, Inc.",Communication Services,United States
ADTN,"ADTRAN, Inc.",Technology,United States
ADTX,"Aditxt, Inc.",Healthcare,United States
ADUS,Addus HomeCare Corporation,Healthcare,United States
ADV,Advantage Solutions Inc.,Communication Services,United States
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,United States
ADXN,Addex Therapeutics Ltd,Healthcare,Switzerland
ADXS,"Advaxis, Inc.",Healthcare,United States
AE,"Adams Resources & Energy, Inc.",Energy,United States
AEAC,Authentic Equity Acquisition Corp.,Financial Services,United States
AEAE,AltEnergy Acquisition Corp.,Financial Services,United States
AEE,Ameren Corporation,Utilities,United States
AEG,Aegon N.V.,Financial Services,Netherlands
AEHA,Aesther Healthcare Acquisition Corp.,Financial Services,United States
AEHL,Antelope Enterprise Holdings Limited,Industrials,China
AEHR,Aehr Test Systems,Technology,United States
AEI,Alset EHome International Inc.,Real Estate,United States
AEIS,"Advanced Energy Industries, Inc.",Industrials,United States
AEL,American Equity Investment Life Holding Company,Financial Services,United States
AEM,Agnico Eagle Mines Limited,Basic Materials,Canada
AEMD,"Aethlon Medical, Inc.",Healthcare,United States
AENZ,Aenza S.A.A.,Industrials,Peru
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,United States
AEP,"American Electric Power Company, Inc.",Utilities,United States
AER,AerCap Holdings N.V.,Industrials,Ireland
AERC,"AeroClean Technologies, Inc.",Industrials,United States
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,United States
AES,The AES Corporation,Utilities,United States
AESE,Allied Esports Entertainment Inc.,Communication Services,United States
AEVA,"Aeva Technologies, Inc.",Consumer Cyclical,United States
AEY,"ADDvantage Technologies Group, Inc.",Technology,United States
AEYE,"AudioEye, Inc.",Technology,United States
AEZS,Aeterna Zentaris Inc.,Healthcare,United States
AFAC,Arena Fortify Acquisition Corp.,Financial Services,United States
AFAQ,AF Acquisition Corp.,Financial Services,United States
AFAR,Full company name not available,,
AFBI,"Affinity Bancshares, Inc.",Financial Services,United States
AFCG,"AFC Gamma, Inc.",Real Estate,United States
AFG,"American Financial Group, Inc.",Financial Services,United States
AFIB,"Acutus Medical, Inc.",Healthcare,United States
AFL,Aflac Incorporated,Financial Services,United States
AFMD,Affimed N.V.,Healthcare,Germany
AFRM,"Affirm Holdings, Inc.",Technology,United States
AFTR,AfterNext HealthTech Acquisition Corp.,Financial Services,United States
AFYA,Afya Limited,Consumer Defensive,Brazil
AG,First Majestic Silver Corp.,Basic Materials,Canada
AGAC,African Gold Acquisition Corporation,Financial Services,United States
AGBA,AGBA Acquisition Limited,Financial Services,Hong Kong
AGCB,Altimeter Growth Corp. 2,Financial Services,United States
AGCO,AGCO Corporation,Industrials,United States
AGE,"AgeX Therapeutics, Inc.",Healthcare,United States
AGEN,Agenus Inc.,Healthcare,United States
AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,United States
AGFY,Agrify Corporation,Industrials,United States
AGGR,Agile Growth Corp.,Financial Services,United States
AGI,Alamos Gold Inc.,Basic Materials,Canada
AGIL,"AgileThought, Inc.",Technology,United States
AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,United States
AGL,"agilon health, inc.",Healthcare,United States
AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,United States
AGM,Federal Agricultural Mortgage Corporation,Financial Services,United States
AGM.A,Full company name not available,,
AGMH,AGM Group Holdings Inc.,Technology,Hong Kong
AGNC,AGNC Investment Corp.,Real Estate,United States
AGO,Assured Guaranty Ltd.,Financial Services,Bermuda
AGR,"Avangrid, Inc.",Utilities,United States
AGRI,AgriFORCE Growing Systems Ltd.,Consumer Defensive,Canada
AGRO,Adecoagro S.A.,Consumer Defensive,Luxembourg
AGRX,"Agile Therapeutics, Inc.",Healthcare,United States
AGS,"PlayAGS, Inc.",Consumer Cyclical,United States
AGTC,Applied Genetic Technologies Corporation,Healthcare,United States
AGTI,"Agiliti, Inc.",Healthcare,United States
AGX,"Argan, Inc.",Industrials,United States
